fecha_origen,fecha_objetivo,horizonte_dias,dataset,modelo,real_CFM,predicho_CFM,persistencia_CFM,error_CFM,error_absoluto_CFM,conjunto,media_7d_CFM,fuente
2022-11-25,2022-12-02,7,Estabilidad,Random Forest B,110.9,81.50376292645267,78.6,29.39623707354734,29.39623707354734,Prueba,104.17142857142856,LABS diario
2022-11-26,2022-12-03,7,Estabilidad,Random Forest B,111.6,73.53079449837306,66.9,38.06920550162694,38.06920550162694,Prueba,100.11428571428573,LABS diario
2022-11-27,2022-12-04,7,Estabilidad,Random Forest B,103.5,80.54825555993955,45.5,22.951744440060452,22.951744440060452,Prueba,94.64285714285714,LABS diario
2022-11-28,2022-12-05,7,Estabilidad,Random Forest B,106.0,90.00882209481964,74.6,15.991177905180365,15.991177905180365,Prueba,91.18571428571428,LABS diario
2022-11-29,2022-12-06,7,Estabilidad,Random Forest B,135.4,105.7749234633714,77.5,29.62507653662861,29.62507653662861,Prueba,83.42857142857143,LABS diario
2022-11-30,2022-12-07,7,Estabilidad,Random Forest B,198.1,103.13239039492251,50.9,94.96760960507748,94.96760960507748,Prueba,70.31428571428572,LABS diario
2022-12-01,2022-12-08,7,Estabilidad,Random Forest B,216.9,96.4919963160555,67.1,120.4080036839445,120.4080036839445,Prueba,65.87142857142858,LABS diario
2022-12-02,2022-12-09,7,Estabilidad,Random Forest B,211.9,109.90753290320795,110.9,101.99246709679205,101.99246709679205,Prueba,70.48571428571428,LABS diario
2022-12-03,2022-12-10,7,Estabilidad,Random Forest B,173.6,113.95687055129751,111.6,59.64312944870248,59.64312944870248,Prueba,76.87142857142858,LABS diario
2022-12-04,2022-12-11,7,Estabilidad,Random Forest B,143.8,111.99746830611032,103.5,31.80253169388969,31.80253169388969,Prueba,85.15714285714286,LABS diario
2022-12-05,2022-12-12,7,Estabilidad,Random Forest B,111.3,104.10608491032785,106.0,7.193915089672146,7.193915089672146,Prueba,89.64285714285714,LABS diario
2022-12-06,2022-12-13,7,Estabilidad,Random Forest B,118.4,111.20677210448291,135.4,7.193227895517097,7.193227895517097,Prueba,97.91428571428571,LABS diario
2022-12-07,2022-12-14,7,Estabilidad,Random Forest B,146.7,118.86218577011236,198.1,27.837814229887627,27.837814229887627,Prueba,118.94285714285715,LABS diario
2022-12-08,2022-12-15,7,Estabilidad,Random Forest B,120.2,124.25951030085699,216.9,-4.059510300856985,4.059510300856985,Prueba,140.34285714285713,LABS diario
2022-12-09,2022-12-16,7,Estabilidad,Random Forest B,114.1,111.1420772156803,211.9,2.957922784319692,2.957922784319692,Prueba,154.77142857142857,LABS diario
2022-12-10,2022-12-17,7,Estabilidad,Random Forest B,86.2,111.94885419426515,173.6,-25.74885419426515,25.74885419426515,Prueba,163.62857142857143,LABS diario
2022-12-11,2022-12-18,7,Estabilidad,Random Forest B,74.2,107.4014341992275,143.8,-33.20143419922749,33.20143419922749,Prueba,169.3857142857143,LABS diario
2022-12-12,2022-12-19,7,Estabilidad,Random Forest B,92.0,103.1295737093206,111.3,-11.129573709320596,11.129573709320596,Prueba,170.14285714285714,LABS diario
2022-12-13,2022-12-20,7,Estabilidad,Random Forest B,131.1,109.80109982112123,118.4,21.298900178878768,21.298900178878768,Prueba,167.71428571428572,LABS diario
2022-12-14,2022-12-21,7,Estabilidad,Random Forest B,202.1,113.3149018029396,146.7,88.78509819706039,88.78509819706039,Prueba,160.37142857142857,LABS diario
2022-12-15,2022-12-22,7,Estabilidad,Random Forest B,197.7,130.13852711499513,120.2,67.56147288500486,67.56147288500486,Prueba,146.55714285714288,LABS diario
2022-12-16,2022-12-23,7,Estabilidad,Random Forest B,123.1,128.24231132560243,114.1,-5.142311325602435,5.142311325602435,Prueba,132.5857142857143,LABS diario
2022-12-17,2022-12-24,7,Estabilidad,Random Forest B,87.1,80.87552108560799,86.2,6.224478914392009,6.224478914392009,Prueba,120.10000000000001,LABS diario
2022-12-18,2022-12-25,7,Estabilidad,Random Forest B,57.1,78.89503357405319,74.2,-21.795033574053186,21.795033574053186,Prueba,110.15714285714286,LABS diario
2022-12-19,2022-12-26,7,Estabilidad,Random Forest B,43.5,93.49819307261374,92.0,-49.998193072613745,49.998193072613745,Prueba,107.39999999999999,LABS diario
2022-12-20,2022-12-27,7,Estabilidad,Random Forest B,111.8,106.94531110561178,131.1,4.854688894388218,4.854688894388218,Prueba,109.21428571428571,LABS diario
2022-12-21,2022-12-28,7,Estabilidad,Random Forest B,220.2,124.22573353166807,202.1,95.97426646833192,95.97426646833192,Prueba,117.12857142857142,LABS diario
2022-12-22,2022-12-29,7,Estabilidad,Random Forest B,229.3,107.42783377453752,197.7,121.8721662254625,121.8721662254625,Prueba,128.2,LABS diario
2022-12-23,2022-12-30,7,Estabilidad,Random Forest B,200.9,107.90330189886,123.1,92.99669810114001,92.99669810114001,Prueba,129.4857142857143,LABS diario
2022-12-24,2022-12-31,7,Estabilidad,Random Forest B,112.9,82.43956655020982,87.1,30.460433449790187,30.460433449790187,Prueba,129.61428571428573,LABS diario
2022-12-25,2023-01-01,7,Estabilidad,Random Forest B,80.3,71.54605330472509,57.1,8.753946695274905,8.753946695274905,Prueba,127.17142857142858,LABS diario
2022-12-26,2023-01-02,7,Estabilidad,Random Forest B,78.9,71.26701410503594,43.5,7.632985894964065,7.632985894964065,Prueba,120.24285714285715,LABS diario
2022-12-27,2023-01-03,7,Estabilidad,Random Forest B,146.7,105.55258527299435,111.8,41.14741472700564,41.14741472700564,Prueba,117.48571428571428,LABS diario
2022-12-28,2023-01-04,7,Estabilidad,Random Forest B,187.1,116.41540821186275,220.2,70.68459178813724,70.68459178813724,Prueba,120.07142857142857,LABS diario
2022-12-29,2023-01-05,7,Estabilidad,Random Forest B,146.1,121.0313922028485,229.3,25.0686077971515,25.0686077971515,Prueba,124.58571428571429,LABS diario
2022-12-30,2023-01-06,7,Estabilidad,Random Forest B,107.9,112.9049064222544,200.9,-5.004906422254393,5.004906422254393,Prueba,135.7,LABS diario
2022-12-31,2023-01-07,7,Estabilidad,Random Forest B,78.5,102.77536230671762,112.9,-24.275362306717625,24.275362306717625,Prueba,139.3857142857143,LABS diario
2023-01-01,2023-01-08,7,Estabilidad,Random Forest B,76.2,80.75001546240873,80.3,-4.550015462408723,4.550015462408723,Prueba,142.7,LABS diario
2023-01-02,2023-01-09,7,Estabilidad,Random Forest B,113.7,74.09977427726534,78.9,39.60022572273466,39.60022572273466,Prueba,147.75714285714284,LABS diario
2023-01-03,2023-01-10,7,Estabilidad,Random Forest B,144.1,102.69904277689699,146.7,41.400957223103006,41.400957223103006,Prueba,152.74285714285716,LABS diario
2023-01-04,2023-01-11,7,Estabilidad,Random Forest B,136.5,119.0683835468919,187.1,17.431616453108106,17.431616453108106,Prueba,148.0142857142857,LABS diario
2023-01-05,2023-01-12,7,Estabilidad,Random Forest B,70.9,128.43590852842706,146.1,-57.53590852842706,57.53590852842706,Prueba,136.12857142857143,LABS diario
2023-01-06,2023-01-13,7,Estabilidad,Random Forest B,95.7,110.06828022391186,107.9,-14.368280223911853,14.368280223911853,Prueba,122.84285714285714,LABS diario
2023-01-07,2023-01-14,7,Estabilidad,Random Forest B,92.9,82.13488085600407,78.5,10.765119143995932,10.765119143995932,Prueba,117.92857142857143,LABS diario
2023-01-08,2023-01-15,7,Estabilidad,Random Forest B,74.5,75.245066649317,76.2,-0.7450666493169962,0.7450666493169962,Prueba,117.34285714285714,LABS diario
2023-01-09,2023-01-16,7,Estabilidad,Random Forest B,97.0,94.28349190285286,113.7,2.716508097147141,2.716508097147141,Prueba,122.31428571428572,LABS diario
